13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Karlovačka;Grad;Duga Resa;MIHALIĆ;POLOVIĆ;BIŠĆAN;STOJKOVIĆ;FUDURIĆ;KASUNIĆ;BENIĆ;PROTULIPAC;BELAVIĆ;ŠKRTIĆ
Karlovačka;Grad;Karlovac;CINDRIĆ;VUKOVIĆ;TUŠKAN;MIKŠIĆ;GORŠIĆ;GRČIĆ;JAKŠIĆ;FURAČ;MILČIĆ;PAVLOVIĆ
Karlovačka;Grad;Ogulin;SALOPEK;PUŠKARIĆ;STIPETIĆ;BROZOVIĆ;CINDRIĆ;TURKOVIĆ;VUČIĆ;BLAŠKOVIĆ;IVOŠEVIĆ;LUKETIĆ
Karlovačka;Grad;Ozalj;MIHALIĆ;GUŠTIN;FERENAC;MARKOVIĆ;LUKŠIĆ;ČULIG;BENKOVIĆ;BAKARIĆ;PULJAK;LUKEŽIĆ
Karlovačka;Grad;Slunj;CINDRIĆ;POŽEGA;MAGDIĆ;TURKALJ;ŠTEFANAC;OBAJDIN;JURČEVIĆ;RENDULIĆ;BOGOVIĆ;PAULIĆ
Karlovačka;Općina;Barilović;TRGOVČIĆ;MIHALIĆ;BOSILJEVAC;BIŠĆAN;ŠTEFANAC;SPUDIĆ;DOBRINIĆ;NOVOSEL;ŠKRTIĆ;GRČIĆ
Karlovačka;Općina;Bosiljevo;MATEŠA;KOLIĆ;TONKOVIĆ;ŠPEHAR;KASUNIĆ;ŠPELIĆ;LIPOŠĆAK;ŽUPAN;VRBANIĆ;ROŽIĆ
Karlovačka;Općina;Cetingrad;CINDRIĆ;MEDVED;BOGOVIĆ;KATIĆ;ŽALAC;JURČEVIĆ;LESAR;PAULIĆ;VALENTIĆ;JUKIĆ
Karlovačka;Općina;Draganić;BARKOVIĆ;JURČIĆ;JAZVAC;DOMLADOVAC;BENCETIĆ;GAŠPIĆ;HORVAT;BUJAN;BENE;RATAIĆ
Karlovačka;Općina;Generalski Stol;ŠKRTIĆ;KATIĆ;KASUNIĆ;HALAR;RADOČAJ;LAUŠ;KRIVAČIĆ;MOGUŠ;ŽIVČIĆ;BENIĆ
Karlovačka;Općina;Josipdol;BOŽIČEVIĆ;RENDULIĆ;BOKULIĆ;GRAČANIN;FRANJKOVIĆ;SABLJAK;MIHALJEVIĆ;BELANČIĆ;JURIČIĆ;TURKALJ
Karlovačka;Općina;Kamanje;RIBARIĆ;PRISELAC;LADIKA;NOVOSEL;IVANČIĆ;MATEŠIĆ;PERIĆAK;KLEMENIĆ;MATELJAN;BORKOVIĆ
Karlovačka;Općina;Krnjak;MAĆEŠIĆ;BUNČIĆ;MATIJEVIĆ;MILJENOVIĆ;BOŽIĆ;VUGDRAGOVIĆ;DUDUKOVIĆ;DOBROSAVLJEVIĆ;ŽIVKOVIĆ;SRDIĆ
Karlovačka;Općina;Lasinja;ŠPIŠIĆ;BRITVEC;MARKULIN;BRAIM;VUKSAN;MASLAK;OREČIĆ;BUSAK;TOPOLNJAK;MRVAC
